Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Famous Scientists,,,,,,0,0,1,Across,FRICTION,Resistance to motion,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,11,1,4,Across,MASS,Amount of matter an object contains,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,4,2,6,Across,FORCE,Push or pull in physics,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,0,4,9,Across,DNA,Genetic material in living organisms,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,4,4,10,Across,MODEL,Representation used for study,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,10,4,11,Across,ATOM,Smallest unit of an element in science,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,2,6,13,Across,GENE,Basic unit of heredity in biology,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,7,6,14,Across,SOLID,State of matter with fixed shape,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,0,8,17,Across,BASE,Compound that accepts protons,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,5,8,18,Across,ENERGY,Capacity to do work,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,0,10,20,Across,GAS,State of matter without a fixed shape,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,11,11,23,Across,HEAT,Form of energy transfer,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,0,12,25,Across,CELL,Fundamental unit of life in biology,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,5,12,26,Across,CRATER,Bowl-shaped impact mark,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,1,14,27,Across,PROTON,Positively charged particle,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,8,14,28,Across,LIQUID,State of matter that flows,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,0,0,1,Down,FLUID,Substance that flows easily,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
,,Crossword,Famous Scientists,,,,,,2,0,2,Down,ION,Atom with an electric charge,,,,,FRICTION.......|L.O....U...MASS|U.N.FORCE.G.L..|I....Z.L..R.L..|DNA.MODEL.ATOM.|...M.N.U..V.Y..|..GENE.SOLID...|.D.T......T...O|BASE.ENERGY...R|.T.R..E.......B|GAS...U.M.....I|..O...T.E..HEAT|CELL.CRATER..C.|..A...O.A....I.|.PROTON.LIQUID.
