Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ancient Egypt,,,,,,7,1,3,Across,COPT,Native Egyptian Christian,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,0,2,4,Across,ANUBIS,Jackal-headed Egyptian god,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,6,3,5,Across,OASIS,Fertile spot in the Egyptian desert,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,0,5,8,Across,OSIRIS,Egyptian god of the underworld,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,1,7,11,Across,RA,Ancient Egyptian sun god,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,7,7,12,Across,NILE,Life-giving river of Egypt,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,3,8,13,Across,ISIS,Mother goddess of Egyptian mythology,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,4,10,14,Across,FELUCCA,Traditional Egyptian sailboat,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,9,0,2,Down,SPHINX,Mythical Egyptian creature with a human head and lion's body,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,7,3,6,Down,ASWAN,Egyptian city on the Nile,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,2,4,7,Down,GIZA,Plateau home to great pyramids,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,5,5,9,Down,SCRIBE,Ancient Egyptian writer,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,10,6,10,Down,DELTA,Nile River mouth feature,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
,,Crossword,Ancient Egypt,,,,,,1,7,11,Down,REED,Plant used for papyrus,,,,,PYRAMID..S.|H......COPT|ANUBIS...H.|R.....OASIS|A.G....S.N.|OSIRIS.W.X.|H.Z..C.A..D|.RA..R.NILE|.E.ISIS...L|.E...B....T|.D..FELUCCA
