Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Ocean Life,,,,,,0,0,1,Across,JELLYFISH,Bell-shaped stinging ocean creature,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,12,1,6,Across,BARNACLE,Crustacean that attaches to ocean surfaces,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,3,2,9,Across,SHOAL,Shallow area of the ocean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,13,3,11,Across,TSUNAMI,Large ocean wave caused by seismic activity,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,0,4,12,Across,ORCA,Killer whale of the ocean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,5,5,14,Across,DRIFTWOOD,Wood floating in the ocean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,5,7,16,Across,RAY,Flat-bodied ocean fish,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,13,7,17,Across,SEAGULL,Common ocean bird,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,2,9,18,Across,SHRIMP,Small edible ocean crustacean,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
,,Crossword,Ocean Life,,,,,,9,10,22,Across,CONCH,Large spiral ocean shell,,,,,JELLYFISH...........|.E...L.A.L..BARNACLE|.L.SHOAL.O.O...A.O..|...T.U.I.B.C.TSUNAMI|ORCA.N.N.S.T.I.T.S..|.E.R.DRIFTWOOD.I.T.W|.E.F.E.T.E.P.E.C...A|.F.I.RAY.R.U.SEAGULL|...S.......S...L...R|..SHRIMP..C........U|..E..S.L.CONCH.WAVES|..A.ALGAE.R.O.......|KELP.A.N..A.D.LIMPET|..I..N.KRILL..A..I..|..F..D.T......G.CRAB|.SEAL..OYSTER.O..A.R|.Q.B.C.N.H....O..T.I|.U.Y.L..DOLPHIN..E.N|.I.SHARK.R.........E|.D.S.M..MERMAID.....
