Series,Puzzle ID,Puzzle Type,Title,Publish Time,Author,Tags,Start Message,Notes,Starting X,Starting Y,Clue Number,Across Clue,Answer,Clue,Question Text,Incorrect Options,Correct Option,Explanation,Puzzle Data
,,Crossword,Canada,,,,,,0,0,1,Across,POUTINE,"Fries, cheese curds, and gravy, a Québécois dish",,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,8,0,4,Across,BANFF,Scenic mountain paradise in Alberta,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,3,2,6,Across,METRIC,System of measurement used in Canada,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,9,3,9,Across,LOONIE,"Canadian one-dollar coin, featuring a bird",,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,3,4,10,Across,IGLOO,Dome-shaped snow house in the Canadian Arctic,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,0,6,12,Across,MOOSE,Large Canadian herbivore with antlers,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,6,6,13,Across,TOONIE,"Canadian two-dollar coin, larger than a loonie",,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,2,8,14,Across,CNTOWER,Iconic Toronto skyline feature,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,7,10,18,Across,TUNDRA,Treeless biome in northern Canada,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
,,Crossword,Canada,,,,,,0,12,19,Across,HOCKEY,Canada's national winter sport on ice,,,,,POUTINE.BANFF..|.N.I........R..|.T.METRIC.R.E.C|.A.M.....LOONIE|.R.IGLOO..C.C.L|.I.E..T...K.H.S|MOOSE.TOONIE..I|A.....A...E...U|P.CNTOWER.S.S.S|L.A.R.A..I..T..|E.N.U..TUNDRA..|..U.D..O.U..N..|HOCKEY.Q.I..L..|..K.A..U.T..EH.|...QUEBEC.BAY..
